Count, Cmd, Bottom, Head
1, 1, 0.96, 1.02
2, 1, 0.97, 1.02
3, 1, 0.96, 1.02
4, 1, 0.97, 1.02
5, 1, 0.97, 1.01
6, 1, 0.97, 1.01
7, 1, 0.97, 1.03
8, 1, 0.97, 1.02
9, 1, 0.97, 1.02
10, 1, 0.97, 1.01
11, 1, 0.96, 1.01
12, 1, 0.96, 1.01
13, 1, 0.97, 1.02
14, 1, 0.97, 1.02
15, 1, 0.96, 1.01
16, 1, 0.97, 1.02
17, 1, 0.97, 1.01
18, 1, 0.97, 1.02
19, 1, 0.96, 1.01
20, 1, 0.97, 1.01
21, 1, 0.96, 1.01
22, 1, 0.96, 1.01
23, 1, 0.97, 1.01
24, 1, 0.96, 1.01
25, 1, 0.96, 1.01
26, 1, 0.97, 1.01
27, 1, 0.96, 1.01
28, 1, 0.96, 1.02
29, 1, 0.96, 1.01
30, 1, 0.97, 1.01
31, 1, 0.96, 1.01
32, 1, 0.96, 1.01
33, 1, 0.96, 1.01
34, 1, 0.96, 1.01
35, 1, 0.96, 1.01
36, 1, 0.96, 1.02
37, 1, 0.96, 1.01
38, 1, 0.97, 1.02
39, 1, 0.96, 1.01
40, 1, 0.96, 1.01
41, 1, 0.96, 1.01
42, 1, 0.96, 1.01
43, 1, 0.96, 1.01
44, 1, 0.96, 1.01
45, 1, 0.96, 1.01
46, 1, 0.96, 1.01
47, 1, 0.96, 1.01
48, 1, 0.96, 1.01
49, 1, 0.96, 1.01
50, 1, 0.96, 1.01
51, 1, 0.96, 1.01
52, 1, 0.96, 1.01
53, 1, 0.96, 1.01
54, 1, 0.96, 1.01
55, 1, 0.96, 1.01
56, 1, 0.96, 1.01
57, 1, 0.96, 1.01
58, 1, 0.96, 1.01
59, 1, 0.96, 1.01
60, 1, 0.96, 1.01
61, 1, 0.96, 1.01
62, 1, 0.96, 1.01
63, 1, 0.96, 1.01
64, 1, 0.96, 1.01
65, 1, 0.96, 1.01
66, 1, 0.96, 1.01
67, 1, 0.95, 1.01
68, 1, 0.96, 1.01
69, 1, 0.96, 1.01
70, 1, 0.96, 1.01
71, 1, 0.95, 1.01
72, 1, 0.95, 1
73, 1, 0.95, 1.01
74, 1, 0.95, 1.01
75, 1, 0.95, 1
76, 1, 0.94, 1
77, 1, 0.94, 1
78, 1, 0.94, 1
79, 1, 0.94, 1
80, 1, 0.95, 1
81, 1, 0.95, 1
82, 1, 0.95, 1.01
83, 1, 0.96, 1.01
84, 1, 0.95, 1.01
85, 1, 0.95, 1.01
86, 1, 0.95, 1.01
87, 1, 0.95, 1
88, 1, 0.94, 1
89, 1, 0.94, 1
90, 1, 0.95, 1.01
91, 1, 0.95, 1.01
92, 1, 0.95, 1.01
93, 1, 0.95, 1.01
94, 1, 0.95, 1
95, 1, 0.95, 1.01
96, 1, 0.95, 1.01
97, 1, 0.96, 1.01
98, 1, 0.95, 1.01
99, 1, 0.95, 1.01
100, 1, 0.95, 1.01
