Count, Cmd, Bottom, Head
1, 3, 3.01, 3.13
2, 3, 3, 3.12
3, 3, 3, 3.12
4, 3, 3, 3.11
5, 3, 3, 3.11
6, 3, 3, 3.11
7, 3, 3, 3.11
8, 3, 3, 3.11
9, 3, 3, 3.11
10, 3, 2.99, 3.1
11, 3, 3, 3.11
12, 3, 2.99, 3.1
13, 3, 2.98, 3.09
14, 3, 2.99, 3.1
15, 3, 2.99, 3.1
16, 3, 2.99, 3.1
17, 3, 2.99, 3.11
18, 3, 2.99, 3.1
19, 3, 2.99, 3.09
20, 3, 2.98, 3.09
21, 3, 2.99, 3.1
22, 3, 2.99, 3.1
23, 3, 2.99, 3.1
24, 3, 2.99, 3.1
25, 3, 2.98, 3.1
26, 3, 2.98, 3.09
27, 3, 2.98, 3.1
28, 3, 2.98, 3.09
29, 3, 2.98, 3.1
30, 3, 2.98, 3.1
31, 3, 2.97, 3.09
32, 3, 2.98, 3.1
33, 3, 2.98, 3.09
34, 3, 2.98, 3.09
35, 3, 2.98, 3.09
36, 3, 2.98, 3.09
37, 3, 2.98, 3.09
38, 3, 2.97, 3.09
39, 3, 2.98, 3.1
40, 3, 2.98, 3.09
41, 3, 2.98, 3.1
42, 3, 2.97, 3.09
43, 3, 2.98, 3.09
44, 3, 2.98, 3.09
45, 3, 2.98, 3.09
46, 3, 2.97, 3.08
47, 3, 2.98, 3.09
48, 3, 2.97, 3.09
49, 3, 2.99, 3.1
50, 3, 2.98, 3.09
51, 3, 2.98, 3.09
52, 3, 2.98, 3.09
53, 3, 2.98, 3.09
54, 3, 2.98, 3.1
55, 3, 2.98, 3.1
56, 3, 2.98, 3.09
57, 3, 2.97, 3.09
58, 3, 2.99, 3.11
59, 3, 2.98, 3.1
60, 3, 2.98, 3.1
61, 3, 2.97, 3.09
62, 3, 2.98, 3.1
63, 3, 2.98, 3.1
64, 3, 2.98, 3.1
65, 3, 2.98, 3.1
66, 3, 2.98, 3.1
67, 3, 2.98, 3.1
68, 3, 2.98, 3.1
69, 3, 2.98, 3.09
70, 3, 2.98, 3.1
71, 3, 2.98, 3.1
72, 3, 2.98, 3.1
73, 3, 2.97, 3.09
74, 3, 2.98, 3.09
75, 3, 2.97, 3.09
76, 3, 2.98, 3.09
77, 3, 2.98, 3.09
78, 3, 2.97, 3.09
79, 3, 2.97, 3.09
80, 3, 2.97, 3.09
81, 3, 2.97, 3.09
82, 3, 2.97, 3.08
83, 3, 2.97, 3.09
84, 3, 2.97, 3.09
85, 3, 2.97, 3.09
86, 3, 2.98, 3.09
87, 3, 2.97, 3.1
88, 3, 2.97, 3.09
89, 3, 2.97, 3.09
90, 3, 2.97, 3.09
91, 3, 2.98, 3.1
92, 3, 2.98, 3.1
93, 3, 2.97, 3.09
94, 3, 2.98, 3.1
95, 3, 2.98, 3.1
96, 3, 2.97, 3.09
97, 3, 2.97, 3.09
98, 3, 2.97, 3.09
99, 3, 2.97, 3.09
100, 3, 2.97, 3.09
